block_slug,attr_name,attr_type,canonical_slot,standalone_block,attr_role,slot_role,role_classification,is_responsive,inspector_control_type
sgs/hero,labelTextDecoration,string,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/hero,labelTextTransform,string,label,sgs/label,typography,text-content,content-bearing,0,RangeControl
sgs/label,tag,string,label,sgs/label,text-content,text-content,content-bearing,0,SelectControl
sgs/mega-menu,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/post-grid,tags,array,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/star-rating,label,string,label,sgs/label,text-content,text-content,content-bearing,0,SelectControl
sgs/tab,label,string,label,sgs/label,text-content,text-content,content-bearing,0,TextControl
sgs/text,tag,string,label,sgs/label,text-content,text-content,content-bearing,0,SelectControl
sgs/whatsapp-cta,label,string,label,sgs/label,text-content,text-content,content-bearing,0,
sgs/whatsapp-cta,labelColour,string,label,sgs/label,color,text-content,content-bearing,0,DesignTokenPicker
sgs/whatsapp-cta,labelFontSize,string,label,sgs/label,typography,text-content,content-bearing,0,SelectControl
core/tabs-menu-item,anchor,string,link,sgs/button,content,content,content-bearing,0,
sgs/breadcrumbs,linkColour,string,link,sgs/button,color,content,content-bearing,0,
sgs/business-info,linkEmail,boolean,link,sgs/button,text-content,content,content-bearing,0,ToggleControl
sgs/business-info,linkPhone,boolean,link,sgs/button,text-content,content,content-bearing,0,ToggleControl
sgs/button,anchor,string,link,sgs/button,content,content,content-bearing,0,
sgs/heading,anchor,string,link,sgs/button,content,content,content-bearing,0,
sgs/icon,linkTarget,string,link,sgs/button,content,content,content-bearing,0,SelectControl
sgs/icon,linkUrl,string,link,sgs/button,content,content,content-bearing,0,TextControl
sgs/media,linkUrl,string,link,sgs/button,content,content,content-bearing,0,
sgs/mega-menu,linkColour,string,link,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,linkColour,string,link,sgs/button,color,content,content-bearing,0,
sgs/mobile-nav,linkFontSize,string,link,sgs/button,typography,content,content-bearing,1,
sgs/mobile-nav,linkFontSizeMobile,string,link,sgs/button,typography,content,content-bearing,0,
sgs/mobile-nav,linkFontWeight,string,link,sgs/button,typography,content,content-bearing,0,
sgs/table-of-contents,linkColour,string,link,sgs/button,color,content,content-bearing,0,DesignTokenPicker
core/media-text,mediaId,number,media,sgs/media,enum-class-probe,image-object,content-bearing,0,
core/media-text,mediaLink,string,media,sgs/media,content,image-object,content-bearing,0,
core/media-text,mediaPosition,string,media,sgs/media,select-from-enum,image-object,content-bearing,0,
core/media-text,mediaType,string,media,sgs/media,select-from-enum,image-object,content-bearing,0,
core/media-text,mediaWidth,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/decorative-image,imageId,number,media,sgs/media,enum-class-probe,image-object,content-bearing,0,
sgs/decorative-image,imageUrl,string,media,sgs/media,content,image-object,content-bearing,0,
sgs/gallery,imageSize,string,media,sgs/media,select-from-enum,image-object,content-bearing,0,
sgs/gallery,images,array,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/gallery,mediaItems,array,media,sgs/media,image-object,image-object,content-bearing,0,MediaUpload
sgs/hero,imageBorderColour,string,media,sgs/media,color,image-object,content-bearing,0,RangeControl
sgs/hero,imageBorderRadiusBL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusBR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusMobileBL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusMobileBR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusMobileTL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusMobileTR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTabletBL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTabletBR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTabletTL,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusTabletTR,number,media,sgs/media,visual,image-object,content-bearing,0,
sgs/hero,imageBorderRadiusUnit,string,media,sgs/media,visual,image-object,content-bearing,0,SelectControl
sgs/hero,imageBorderStyle,string,media,sgs/media,visual,image-object,content-bearing,0,SelectControl
sgs/hero,imageBorderWidthBottom,number,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageBorderWidthLeft,number,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageBorderWidthRight,number,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageBorderWidthTop,number,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageBorderWidthUnit,string,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageHeight,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imageHeightMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imageHeightTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imageHeightUnit,string,media,sgs/media,layout,image-object,content-bearing,0,SelectControl
sgs/hero,imageObjectFit,string,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imageObjectPosition,string,media,sgs/media,visual,image-object,content-bearing,0,RangeControl
sgs/hero,imagePaddingBottom,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imagePaddingBottomMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingBottomTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingLeft,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imagePaddingLeftMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingLeftTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingRight,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imagePaddingRightMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingRightTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingTop,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imagePaddingTopMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingTopTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imagePaddingUnit,string,media,sgs/media,layout,image-object,content-bearing,0,RangeControl
sgs/hero,imageWidth,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,imageWidthMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imageWidthTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,imageWidthUnit,string,media,sgs/media,layout,image-object,content-bearing,0,SelectControl
sgs/hero,mediaBackgroundColour,string,media,sgs/media,color,image-object,content-bearing,0,SelectControl
sgs/hero,mediaPaddingBottom,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,mediaPaddingBottomMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingBottomTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingLeft,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,mediaPaddingLeftMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingLeftTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingRight,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,mediaPaddingRightMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingRightTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingTop,number,media,sgs/media,layout,image-object,content-bearing,1,
sgs/hero,mediaPaddingTopMobile,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingTopTablet,number,media,sgs/media,layout,image-object,content-bearing,0,
sgs/hero,mediaPaddingUnit,string,media,sgs/media,layout,image-object,content-bearing,0,SelectControl
sgs/info-box,mediaEmoji,string,media,sgs/media,text-content,image-object,content-bearing,0,TextControl
sgs/info-box,mediaType,string,media,sgs/media,select-from-enum,image-object,content-bearing,0,SelectControl
sgs/media,decorMedia,object,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/media,imageHeight,integer,media,sgs/media,layout,image-object,content-bearing,0,
sgs/media,imageId,integer,media,sgs/media,enum-class-probe,image-object,content-bearing,0,
sgs/media,imageUrl,string,media,sgs/media,content,image-object,content-bearing,0,
sgs/media,imageWidth,integer,media,sgs/media,layout,image-object,content-bearing,0,
sgs/media,videoAttachmentId,number,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/media,videoPosterAttachmentId,number,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/media,videoPosterUrl,string,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/media,videoUrl,string,media,sgs/media,link-href,image-object,content-bearing,0,
sgs/post-grid,imageSize,string,media,sgs/media,select-from-enum,image-object,content-bearing,0,
sgs/team-member,photo,object,media,sgs/media,image-object,image-object,content-bearing,0,
sgs/countdown-timer,numberColour,string,number,sgs/counter,color,text-content,content-bearing,0,SelectControl
sgs/counter,number,number,number,sgs/counter,text-content,text-content,content-bearing,0,
sgs/counter,numberColour,string,number,sgs/counter,color,text-content,content-bearing,0,DesignTokenPicker
sgs/cta-section,stats,array,number,sgs/counter,text-content,text-content,content-bearing,0,
sgs/icon-list,numberStyle,string,number,sgs/counter,text-content,text-content,content-bearing,0,
sgs/process-steps,numberBackground,string,number,sgs/counter,color,text-content,content-bearing,0,DesignTokenPicker
sgs/process-steps,numberColour,string,number,sgs/counter,color,text-content,content-bearing,0,DesignTokenPicker
sgs/process-steps,numberStyle,string,number,sgs/counter,behaviour,text-content,content-bearing,0,SelectControl
sgs/form-field-address,fields,array,options,,content,text-content,content-bearing,0,
sgs/form-field-checkbox,options,array,options,,text-content,text-content,content-bearing,0,
sgs/form-field-radio,options,array,options,,text-content,text-content,content-bearing,0,
sgs/form-field-select,options,array,options,,text-content,text-content,content-bearing,0,
sgs/form-field-tiles,tiles,array,options,,content,text-content,content-bearing,0,
sgs/media,playbackMode,string,options,,select-from-enum,text-content,content-bearing,0,
sgs/media,videoControls,boolean,options,,boolean-visibility,text-content,content-bearing,0,
sgs/mobile-nav,showContactIcons,boolean,options,,boolean-visibility,text-content,content-bearing,0,
sgs/pricing-table,priceColour,string,price,sgs/pricing-table,color,text-content,content-bearing,0,DesignTokenPicker
sgs/product-card,priceLarge,string,price,sgs/pricing-table,select-from-enum,text-content,content-bearing,0,TextControl
sgs/product-card,priceNote,string,price,sgs/pricing-table,text-content,text-content,content-bearing,0,TextControl
sgs/testimonial,quote,string,quote,sgs/quote,identity,identity,content-bearing,0,
sgs/testimonial,quoteColour,string,quote,sgs/quote,color,identity,content-bearing,0,DesignTokenPicker
sgs/testimonial-slider,quoteColour,string,quote,sgs/quote,color,identity,content-bearing,0,DesignTokenPicker
sgs/testimonial,ratingColour,string,rating,sgs/star-rating,color,text-content,content-bearing,0,DesignTokenPicker
sgs/testimonial-slider,ratingColour,string,rating,sgs/star-rating,color,text-content,content-bearing,0,DesignTokenPicker
sgs/testimonial,reviewDate,string,review,sgs/testimonial,text-content,identity,content-bearing,0,TextControl
sgs/testimonial-slider,testimonials,array,review,sgs/testimonial,identity,identity,content-bearing,0,
sgs/trustpilot-reviews,reviews,array,review,sgs/testimonial,identity,identity,content-bearing,0,
core/latest-posts,categories,array,role,sgs/label,identity,identity,content-bearing,0,
sgs/post-grid,categories,array,role,sgs/label,identity,identity,content-bearing,0,
sgs/team-member,role,string,role,sgs/label,identity,identity,content-bearing,0,
sgs/team-member,roleColour,string,role,sgs/label,color,identity,content-bearing,0,DesignTokenPicker
sgs/testimonial,role,string,role,sgs/label,identity,identity,content-bearing,0,
sgs/testimonial,roleColour,string,role,sgs/label,color,identity,content-bearing,0,DesignTokenPicker
sgs/testimonial-slider,roleColour,string,role,sgs/label,color,identity,content-bearing,0,SelectControl
sgs/mobile-nav,socialStyle,string,social,sgs/social-icons,behaviour,identity,content-bearing,0,SelectControl
sgs/google-reviews,starColour,string,star,sgs/star-rating,color,identity,content-bearing,0,SelectControl
sgs/star-rating,starColour,string,star,sgs/star-rating,color,identity,content-bearing,0,RangeControl
sgs/star-rating,starSize,number,star,sgs/star-rating,select-from-enum,identity,content-bearing,0,RangeControl
sgs/form-field-number,step,string,step,sgs/process-steps,identity,identity,content-bearing,0,TextControl
sgs/process-steps,steps,array,step,sgs/process-steps,identity,identity,content-bearing,0,
sgs/card-grid,subtitleColour,string,subheading,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/data-display,displayDescription,string,subheading,sgs/text,boolean-visibility,text-content,content-bearing,0,
sgs/heading,sub,string,subheading,sgs/text,text-content,text-content,content-bearing,0,
sgs/heading,subColour,string,subheading,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/heading,subFontFamily,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subFontSize,number,subheading,sgs/text,typography,text-content,content-bearing,1,
sgs/heading,subFontSizeMobile,number,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subFontSizeTablet,number,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subFontSizeUnit,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subFontStyle,string,subheading,sgs/text,select-from-enum,text-content,content-bearing,0,
sgs/heading,subFontWeight,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subLetterSpacing,number,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subLetterSpacingUnit,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subLineHeight,number,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subLineHeightUnit,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subMarginBottom,string,subheading,sgs/text,layout,text-content,content-bearing,1,
sgs/heading,subMarginBottomMobile,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginBottomTablet,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginLeft,string,subheading,sgs/text,layout,text-content,content-bearing,1,
sgs/heading,subMarginLeftMobile,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginLeftTablet,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginRight,string,subheading,sgs/text,layout,text-content,content-bearing,1,
sgs/heading,subMarginRightMobile,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginRightTablet,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginTop,string,subheading,sgs/text,layout,text-content,content-bearing,1,
sgs/heading,subMarginTopMobile,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginTopTablet,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subMarginUnit,string,subheading,sgs/text,layout,text-content,content-bearing,0,
sgs/heading,subTextDecoration,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/heading,subTextTransform,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/hero,subHeadline,string,subheading,sgs/text,text-content,text-content,content-bearing,0,
sgs/hero,subHeadlineColour,string,subheading,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/hero,subHeadlineFontFamily,string,subheading,sgs/text,typography,text-content,content-bearing,0,TextControl
sgs/hero,subHeadlineFontSize,string,subheading,sgs/text,typography,text-content,content-bearing,1,
sgs/hero,subHeadlineFontSizeMobile,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/hero,subHeadlineFontSizeTablet,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/hero,subHeadlineFontWeight,string,subheading,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/hero,subHeadlineLetterSpacing,number,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineLetterSpacingUnit,string,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineLineHeight,number,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineLineHeightUnit,string,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineMarginBottom,number,subheading,sgs/text,layout,text-content,content-bearing,1,RangeControl
sgs/hero,subHeadlineMarginBottomMobile,number,subheading,sgs/text,layout,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineMaxWidth,number,subheading,sgs/text,layout,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineTextDecoration,string,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/hero,subHeadlineTextTransform,string,subheading,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/info-box,subtitle,string,subheading,sgs/text,text-content,text-content,content-bearing,0,
sgs/info-box,subtitleColour,string,subheading,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/info-box,subtitleFontSize,string,subheading,sgs/text,typography,text-content,content-bearing,1,
sgs/info-box,subtitleFontSizeMobile,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/info-box,subtitleFontSizeTablet,string,subheading,sgs/text,typography,text-content,content-bearing,0,
sgs/trustpilot-reviews,subtitleText,string,subheading,sgs/text,text-content,text-content,content-bearing,0,ToggleControl
sgs/tabs,tabActiveIndicatorColour,string,tab,sgs/tab,color,identity,content-bearing,0,
sgs/tabs,tabActiveTextColour,string,tab,sgs/tab,color,identity,content-bearing,0,DesignTokenPicker
sgs/tabs,tabAlignment,string,tab,sgs/tab,behaviour,identity,content-bearing,0,SelectControl
sgs/tabs,tabStyle,string,tab,sgs/tab,behaviour,identity,content-bearing,0,SelectControl
sgs/tabs,tabTextColour,string,tab,sgs/tab,color,identity,content-bearing,0,DesignTokenPicker
core/navigation-link,description,string,text,sgs/text,text-content,text-content,content-bearing,0,
core/navigation-submenu,description,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/accordion-item,isOpen,boolean,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/announcement-bar,messages,array,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/announcement-bar,textColour,string,text,sgs/text,colour-text,text-content,content-bearing,0,SelectControl
sgs/cta-section,body,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/cta-section,bodyColour,string,text,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/cta-section,bodyFontSize,string,text,sgs/text,typography,text-content,content-bearing,1,
sgs/cta-section,bodyFontSizeMobile,string,text,sgs/text,typography,text-content,content-bearing,0,
sgs/cta-section,bodyFontSizeTablet,string,text,sgs/text,typography,text-content,content-bearing,0,
sgs/cta-section,textTransform,string,text,sgs/text,,text-content,content-bearing,0,
sgs/featured-product,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/footer,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-address,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-address,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-address,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-checkbox,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-checkbox,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-checkbox,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-consent,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-consent,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-consent,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-date,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-date,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-date,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-email,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-email,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-email,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-file,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-file,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-file,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-hidden,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-hidden,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-hidden,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-hidden,defaultValue,string,text,sgs/text,text-content,text-content,content-bearing,0,TextControl
sgs/form-field-number,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-number,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-number,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-phone,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-phone,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-phone,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-radio,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-radio,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-radio,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-select,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-select,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-select,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-text,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-text,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-text,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-textarea,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-textarea,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-textarea,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-tiles,conditionalField,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-tiles,conditionalOperator,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/form-field-tiles,conditionalValue,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/gift-section,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/google-reviews,textColour,string,text,sgs/text,colour-text,text-content,content-bearing,0,
sgs/header,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/hero,contentMaxWidth,number,text,sgs/text,layout,text-content,content-bearing,1,
sgs/hero,contentMaxWidthMobile,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentMaxWidthTablet,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentMaxWidthUnit,string,text,sgs/text,layout,text-content,content-bearing,0,SelectControl
sgs/hero,contentPaddingBottom,number,text,sgs/text,layout,text-content,content-bearing,1,
sgs/hero,contentPaddingBottomMobile,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingBottomTablet,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingLeft,number,text,sgs/text,layout,text-content,content-bearing,1,
sgs/hero,contentPaddingLeftMobile,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingLeftTablet,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingRight,number,text,sgs/text,layout,text-content,content-bearing,1,
sgs/hero,contentPaddingRightMobile,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingRightTablet,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingTop,number,text,sgs/text,layout,text-content,content-bearing,1,
sgs/hero,contentPaddingTopMobile,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingTopTablet,number,text,sgs/text,layout,text-content,content-bearing,0,
sgs/hero,contentPaddingUnit,string,text,sgs/text,layout,text-content,content-bearing,0,SelectControl
sgs/hero,textTransform,string,text,sgs/text,,text-content,content-bearing,0,
sgs/info-box,description,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/info-box,descriptionColour,string,text,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/info-box,textTransform,string,text,sgs/text,,text-content,content-bearing,0,
sgs/label,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/media,videoSchema,boolean,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/notice-banner,text,string,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/notice-banner,textFontSize,string,text,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/post-grid,excerptColour,string,text,sgs/text,color,text-content,content-bearing,0,
sgs/process-steps,descriptionColour,string,text,sgs/text,color,text-content,content-bearing,0,DesignTokenPicker
sgs/product-card,description,string,text,sgs/text,text-content,text-content,content-bearing,0,TextControl
sgs/quote,attribution,string,text,sgs/text,text-content,text-content,content-bearing,0,Button
sgs/quote,attributionColour,string,text,sgs/text,color,text-content,content-bearing,0,SelectControl
sgs/quote,attributionFontFamily,string,text,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/quote,attributionFontSize,number,text,sgs/text,typography,text-content,content-bearing,1,RangeControl
sgs/quote,attributionFontSizeMobile,number,text,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/quote,attributionFontSizeTablet,number,text,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/quote,attributionFontSizeUnit,string,text,sgs/text,typography,text-content,content-bearing,0,RangeControl
sgs/quote,attributionFontStyle,string,text,sgs/text,select-from-enum,text-content,content-bearing,0,SelectControl
sgs/quote,attributionFontWeight,string,text,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/quote,attributionLineHeight,number,text,sgs/text,typography,text-content,content-bearing,0,
sgs/quote,attributionLineHeightUnit,string,text,sgs/text,typography,text-content,content-bearing,0,
sgs/quote,attributionMarginTop,number,text,sgs/text,layout,text-content,content-bearing,1,RangeControl
sgs/quote,attributionMarginTopMobile,number,text,sgs/text,layout,text-content,content-bearing,0,RangeControl
sgs/quote,attributionMarginTopTablet,number,text,sgs/text,layout,text-content,content-bearing,0,RangeControl
sgs/quote,attributionMarginUnit,string,text,sgs/text,layout,text-content,content-bearing,0,RangeControl
sgs/quote,attributionTextDecoration,string,text,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/quote,attributionTextTransform,string,text,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/quote,body,array,text,sgs/text,text-content,text-content,content-bearing,0,
sgs/quote,bodyColour,string,text,sgs/text,color,text-content,content-bearing,0,SelectControl
sgs/quote,bodyFontFamily,string,text,sgs/text,typography,text-content,content-bearing,0,SelectControl
sgs/quote,bodyFontSize,number,text,sgs/text,typography,text-content,content-bearing,1,RangeControl
